Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Mortality_Rate,Gender,Race,TopicID,LocationID,Y_Lat,X_Lon
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,127.9,Overall,Asian and Pacific Islander,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,261.2,Overall,Overall,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,336.4,Male,Overall,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,190.2,Female,Overall,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,245.6,Overall,White,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,312.8,Male,White,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,176.8,Female,White,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,301.9,Overall,Black,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,392.5,Male,Black,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,212.6,Female,Black,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,172.7,Overall,Hispanic,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,198.4,Male,Hispanic,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,146.1,Female,Hispanic,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,190.6,Male,Asian and Pacific Islander,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,85.4,Female,Asian and Pacific Islander,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,434.7,Overall,American Indian and Alaskan Native,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,578.8,Male,American Indian and Alaskan Native,T2,2,64.3173,-152.571
2017,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,326.2,Female,American Indian and Alaskan Native,T2,2,64.3173,-152.571
